Total Bits Compared,Bit Errors,BER
1632,2,0.00122549
1632,7,0.00428922
1632,8,0.00490196
1632,6,0.00367647
1632,9,0.00551471
1632,8,0.00490196
1632,2,0.00122549
1632,3,0.00183824
1632,11,0.00674020
1632,15,0.00919118
1632,17,0.01041667
1632,11,0.00674020
1632,2,0.00122549
1632,2,0.00122549
1632,8,0.00490196
1632,7,0.00428922
1632,11,0.00674020
1632,9,0.00551471
1632,4,0.00245098
1632,2,0.00122549
1632,9,0.00551471
1632,5,0.00306373
1632,10,0.00612745
1632,8,0.00490196
1632,4,0.00245098
1632,2,0.00122549
1632,12,0.00735294
1632,13,0.00796569
1632,14,0.00857843
1632,708,0.43382353
1632,909,0.55698529
1152,222,0.19270833
1104,117,0.10597826
1504,355,0.23603723
1104,242,0.21920290
1632,843,0.51654412
1200,212,0.17666667
1104,105,0.09510870
1424,470,0.33005618
1120,174,0.15535714
1192,415,0.34815436
1632,661,0.40502451
1632,513,0.31433824
1632,810,0.49632353
1368,164,0.11988304
1632,881,0.53982843
1104,144,0.13043478
1632,929,0.56924020
1632,548,0.33578431
1104,221,0.20018116
1632,615,0.37683824
840,228,0.27142857
1632,79,0.04840686
1632,350,0.21446078
864,216,0.25000000
1368,33,0.02412281
792,174,0.21969697
1104,121,0.10960145
1504,350,0.23271277
1632,701,0.42953431
936,224,0.23931624
1368,177,0.12938596
1632,904,0.55392157
1368,167,0.12207602
1632,929,0.56924020
1104,153,0.13858696
1632,889,0.54473039
